2022-05-09; 12.8.437.6765; Zeri; 3; 0; 0; 1; 4; 1; 0.18181818181818182; 6; 0; 12; 1; 151; 72; 6; 16; 8951; 7025; 364.4768933836774; 9850; 401.04677656486206; 0.15088804479004145; 53; 5; 4351; 4351; 0; 0; 0; 0; 0; 0; 5; 1; 5; 0; 3; 10; 3; 23; 1; Phantom Dancer; Immortal Shieldbow; NA; Boots; NA; NA; 
2022-05-09; 12.8.437.6765; Xayah; 7; 1; 0; 4; 7; 1.5714285714285714; 0.2894736842105263; 0; 0; 13; 3; 168; 62; 121; 0; 10148; 9925; 455.4896260841585; 14262; 640.1132101778219; 0.15637352301749838; 6; 6; 877; 7652; 0; 1; 0; 0; 0; 0; 0; 2; 0; 0; 3; 9; 4; 23; 0; Kraken Slayer; The Collector; Berserker's Greaves; Last Whisper; Cloak of Agility; NA; 
2022-05-06; 12.8.437.6765; Kaisa; 2; 0; 0; 4; 4; 1.5; 0.18181818181818182; 0; 0; 13; 2; 185; 52; 24.499999970197678; 1; 9916; 9150; 381.2123608604532; 13705; 526.8663489729831; 0.10068891165520531; 9; 14; 2531; 2531; 0; 0; 0; 0; 0; 0; 0; 2; 1; 0; 2; 9; 4; 27; 0; Kraken Slayer; NA; Last Whisper; Phantom Dancer; Berserker's Greaves; Cloak of Agility; 
2022-05-06; 12.8.437.6765; Aphelios; 3; 0; 0; 3; 8; 0.75; 0.1935483870967742; 0; 0; 13; 1; 168; 53; 41.400000005960464; 6; 10142; 10835; 376.25310525087605; 12986; 481.7289674146751; 0.12068211683424548; 23; 26; 4625; 6692; 0; 0; 0; 0; 0; 0; 0; 2; 2; 0; 1; 8; 2; 21; 0; Executioner's Calling; Kraken Slayer; B. F. Sword; Berserker's Greaves; Lord Dominik's Regards; NA; 
2022-05-06; 12.8.437.6765; Xayah; 5; 1; 0; 8; 5; 2.6; 0.6190476190476191; 1; 1; 16; 3; 209; 71; 28.000000029802322; 16; 12019; 9775; 423.3337937865155; 20321; 715.710823996512; 0.17355485369621937; 28; 24; 3037; 16991; 0; 1; 0; 1; 1; 0; 5; 3; 2; 0; 3; 12; 2; 19; 1; Kraken Slayer; Berserker's Greaves; Lord Dominik's Regards; B. F. Sword; Cloak of Agility; NA; 
2022-05-06; 12.8.437.6765; Aphelios; 4; 1; 0; 5; 2; 4.5; 1.2857142857142858; 0; 0; 12; 1; 158; 69; 18.450000017881393; 11; 9744; 8475; 500.1688315685114; 11649; 597.9364687619989; 0.15978110497210052; 29; 14; 8069; 8444; 0; 0; 0; 0; 0; 0; 5; 5; 3; 0; 1; 7; 3; 11; 1; Berserker's Greaves; Galeforce; Bloodthirster; Long Sword; NA; NA; 
2022-05-05; 12.8.437.6765; Tristana; 13; 0; 0; 9; 2; 11; 0.6875; 6; 2; 17; 2; 252; 71; 54.40000003576279; 24; 19523; 17625; 575.7578103350822; 26737; 788.4781621195509; 0.14783156573022652; 26; 10; 15222; 34545; 0; 1; 1; 4; 1; 0; 0; 5; 10; 0; 1; 10; 3; 38; 1; Berserker's Greaves; Galeforce; Phantom Dancer; Bloodthirster; Lord Dominik's Regards; Infinity Edge; 
2022-05-05; 12.8.437.6765; Aphelios; 15; 2; 0; 8; 4; 5.75; 1.0454545454545454; 0; 2; 15; 2; 193; 59; 16.000000029802322; 28; 15362; 13125; 570.3488708811494; 35247; 1308.6350133979727; 0.18255379514350625; 45; 48; 8215; 14835; 0; 1; 0; 1; 0; 0; 10; 5; 4; 0; 3; 11; 2; 26; 1; Bloodthirster; Galeforce; Berserker's Greaves; Infinity Edge; Last Whisper; NA; 
2022-05-05; 12.8.437.6765; Tristana; 3; 0; 0; 4; 7; 1; 0.2413793103448276; 0; 0; 13; 1; 180; 65; 6; 31; 11430; 10875; 405.80692765938545; 15121; 536.8257792594811; 0.16274293165917514; 21; 42; 458; 4598; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 3; 9; 3; 16; 0; Kraken Slayer; Berserker's Greaves; Phantom Dancer; Bloodthirster; NA; NA; 
2022-04-29; 12.8.436.3750; MissFortune; 8; 1; 0; 9; 6; 2.8333333333333335; 0.6071428571428571; 0; 1; 15; 2; 260; 81; 78.40000000596046; 10; 14706; 14475; 436.2545758666543; 22620; 671.0200105026165; 0.15277810524920496; 42; 21; 1988; 3677; 0; 0; 0; 0; 0; 0; 0; 2; 2; 0; 3; 12; 4; 31; 0; Muramana; Eclipse; The Collector; B. F. Sword; Ionian Boots of Lucidity; Serylda's Grudge; 
